CountryCode,HO,IW,JE,SC,ES,EQ,CG,HS,SW,PS,WL
AUS,7.4,4.9,8.3,8.2,8.1,8.6,9.5,9.2,9.2,9.6,5.2
AUT,5.7,4.9,8.2,7.1,6.7,7.2,5.6,7.4,8,9.1,6
BEL,6.7,5.6,7,9.2,7.4,7.1,5.9,7.7,7.6,7.5,8.8
BRA,4.3,0.1,5.8,7.2,1.8,5.8,4.4,4.6,8.1,2.2,6.7
CAN,7.7,5.2,7.9,8,7.7,8.5,5.8,9.3,9.3,9.8,6.1
CHE,6,7.4,9.4,9.8,7.5,8.4,3.4,9.1,9.9,8.7,7.2
CHL,3.6,1,5.8,5.6,3.4,2,0,5.8,7.2,6.8,5
CZE,4.2,1.6,6,5.1,7.8,7.6,3.7,5.6,6.3,9.2,7.1
DEU,6.1,5,8.1,8.9,7.9,8.8,3.9,7.1,8.1,9,8
DNK,5.6,3.9,8,9.5,7.8,8.8,7,7.3,10,8.9,9.8
ESP,6.2,2.6,2.4,9.3,5.2,4.9,5,8.2,6.2,8.7,9.3
EST,4.3,0.7,5.7,7.1,7.9,7.8,2.3,4.4,2.9,7.3,7.4
FIN,6.2,3.3,7,9.4,9.1,8.8,5.9,6.9,9.6,9.3,7.4
FRA,6.1,4.5,6.4,6.2,5.7,7.8,4.3,7.7,6.2,8.4,7.6
GBR,6.1,4.6,7.4,7.8,6,8.4,6.9,7.8,7.3,9.7,6.1
GRC,4,1.6,1.5,4.5,6,4.2,4,7.7,0,8.7,7.1
HUN,3.9,1,4.8,6.2,6.6,6.7,4.5,4.2,0.6,8.8,7.7
IRL,7.3,3.1,6.2,10,6.9,7.4,6.1,8.5,8.2,9.3,7.9
ISL,4.9,3.5,9.5,9.8,7.3,8.9,5.3,8.8,10,9.4,5.8
ISR,4.2,3.5,6.6,6.1,5.4,4.9,2.4,8.7,9.6,7.4,5.1
ITA,4.6,4.1,5.2,7.2,4.9,5.2,4.5,7.7,4.6,8.4,7.5
JPN,4.7,5.4,7.7,6.8,7.7,6.5,3.2,5,4.2,10,5.1
KOR,5.7,2.2,7.3,0,7.9,4.8,7.4,4.7,3.8,9.5,5
LUX,6.6,6.6,8.2,6.3,5,8.2,6.9,7.9,7.8,8.7,7.8
MEX,3.5,0.4,5.5,1.8,0.5,3.5,5.3,4.7,7,0.4,2.4
NLD,7.2,5.4,8.2,7.6,7.6,6.5,5.1,8,9.3,8.3,8.8
NOR,7.6,3.9,9,8.9,7.1,8.7,6.5,8.2,9.8,9.1,8.7
NZL,7,2.9,7.5,9.1,7,8.8,7.5,9.3,9.3,9.4,6.1
POL,4.1,1.3,4.9,7.9,8.3,4.5,5.3,5,3.6,9.8,5.6
PRT,6.1,2.4,4.1,5.6,4.3,7.5,3.4,5.3,1.3,7.9,6.7
RUS,3.3,1.3,6.3,7.4,6.2,4.3,2.1,0.6,4.7,6.5,7.9
SVK,3.6,1.2,4.3,7.5,6.1,7.6,3.6,5.3,5,9.1,7.1
SVN,5.8,1.8,5.9,7.2,7.6,6.7,4.6,6.8,3.4,8.8,6.6
SWE,6.3,5,7.6,8.3,7.9,9.6,8.8,8.7,9,8.3,8.1
TUR,2.1,0.4,3.8,5.7,2.7,2.2,6.2,4.9,3,8.2,0
USA,8.1,10,8.1,7.4,7,7.3,5.4,8.1,8.7,8.9,5.3