Country,AFG,ALB,DZA,AND,AGO,ATG,ARG,ARM,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,CSK,SUN,YUCS,FRA,GAB,GMB,GEO,DEU,GHA,GRC,GRD,GUM,GTM,GIN,GNB,GUY,HTI,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KOR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MKD,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MDA,MCO,MNG,MNE,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,PRI,QAT,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SCG,SYC,SLE,SRB,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SSD,SUR,SWZ,SWE,CHE,SYR,TWN,TJK,TZA,THA,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TUV,UGA,UKR,ARE,GBR,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,TOT,NS,UUU,YYY,CAX,CGX
AUS,3.644,0.153,0.024,null,0.001,0.001,0.173,0.036,null,0.159,0.025,0.001,0.06,2.519,null,0.037,0.182,0.002,0.008,null,0.863,0.027,0.118,0.068,1.086,0.032,0.079,0.002,0.111,0.78,0.014,2.011,null,0.001,0.007,0.234,25.572,0.943,null,0.209,null,0.014,0.016,0.11,0.056,0.014,0.194,null,0.428,0.142,0.013,null,0.008,0.04,1.152,0.038,0.001,0.441,0.061,0.801,1.514,0.166,0.001,0.002,null,1.393,null,0.001,0.011,1.942,0.252,0.296,0.003,null,0.014,0.038,null,0.006,null,0.002,0.86,0.336,0.014,27.865,2.518,4.635,2.459,5.034,0.345,0.937,0.013,1.629,0.351,0.081,0.563,0.003,5.049,0.018,0.019,0.142,0.07,1.501,null,0.174,0.023,0.002,0.079,0.002,0.021,0.213,0.002,0.026,5.38,0.028,0.004,0.057,null,0.001,0.886,0.336,null,0.045,null,0.063,0.014,0.056,0.018,2.622,0.022,0.019,2.534,0.806,44.311,0.012,null,0.407,null,0.146,0.002,4.294,null,null,0.002,0.591,0.003,0.342,12.785,0.59,0.279,null,0.001,0.3,1.177,0.048,null,0.011,null,0.075,null,null,0.02,0.009,0.037,0.055,0.147,0.228,1.786,0.133,0.072,0.046,0.361,8.035,0.297,6.146,0.407,0.009,null,null,0.425,0.271,0.321,0.783,0.004,0.049,2.657,0.021,0.015,null,0.233,0.034,0.015,0.681,0.002,0.006,0.055,0.366,0.008,27.007,3.258,0.038,0.103,0.027,0.315,4.817,0.019,0.182,1.161,242.385,0.031,null,0.849,null,null
AUT,3.756,0.25,0.249,0,0.008,0,0.092,0.318,0.239,null,0.174,0.001,0,0.257,0.002,0.176,0.306,0,0.011,null,0.009,0.015,4.133,0,0.424,0,3.631,0.013,0.006,0.015,0.082,0.393,0,0,0.004,0.084,1.521,0.148,0,0.035,null,0.014,0.024,2.008,0.054,0.022,1.755,0.014,0.036,0.162,0,0.004,0.106,0.054,0.623,0.01,0.001,0.014,0.098,0.078,0.005,0.328,null,null,null,1.144,0.006,0.103,0.405,17.774,0.099,1.201,0.002,null,0.033,0.055,0.011,0,0.007,0.006,null,13.066,0.034,1.251,0.119,2.409,0.461,0.176,0.182,3.095,0.006,0.365,0.07,0.202,0.114,0,0.411,0.007,0.112,0.005,0.36,0.061,0.002,0.029,0.065,0.019,0.292,0.096,null,1.3,0.015,0.007,0.048,0,0.029,0.011,0,0.008,0.007,0.237,0,0.149,0,0.343,0.118,0.194,0.003,0.012,0.013,0,0.12,0.868,0.061,0.018,0.006,0.782,null,0.092,0.096,1.036,0,null,0.005,0,0.011,0.106,0.288,7.105,0.693,null,0.001,13.362,3.438,0.018,0,0.001,0.001,0,0,0,0.031,0.047,null,0.001,0.044,6.715,0.052,5.957,1.876,0.001,0.486,0.061,1.43,0.02,0.081,null,0,0.003,0.355,0.645,0.903,null,0.075,0.013,0.345,0,0.009,null,0,0.001,0.235,4.088,0.031,0,0.046,1.125,0.005,1.225,1.796,0.009,0.06,0,0.064,0.108,0.007,0.007,0.025,125.605,0.058,0.019,0.121,null,null
BEL,0.231,0.256,0.735,0.005,0.076,null,0.098,0.132,0.193,0.28,0.029,0.001,null,0.113,null,0.104,null,null,0.128,null,null,0.067,0.102,null,1.297,null,4.478,0.106,0.132,null,1.305,0.614,null,null,null,0.139,1.406,0.304,null,null,null,null,0.243,0.204,0.078,0.055,0.492,null,1.037,0.257,null,null,0.116,0.298,0.232,null,null,null,0.131,0.159,null,0.335,null,null,null,13.333,null,null,0.09,2.892,0.49,1.511,null,null,null,0.388,null,null,null,null,null,1.178,null,2.215,0.192,0.309,0.498,0.426,0.124,5.237,null,0.993,null,null,0.077,null,0.248,null,null,null,0.351,0.156,null,null,null,null,0.439,0.249,null,0.282,0.095,null,null,null,null,null,null,null,0.096,0.32,null,0.19,null,null,null,5.748,null,null,null,null,0.249,9.075,null,null,0.097,0.324,null,0.164,null,0.603,null,null,null,null,null,0.188,0.557,8.617,4.227,null,null,11.165,0.793,0.201,null,null,null,null,null,null,null,0.243,null,null,null,0.231,null,0.648,0.149,null,null,0.171,6.002,null,null,null,0.269,null,0.412,0.203,0.16,null,null,null,0.442,null,0.155,null,null,null,0.728,2.057,null,null,null,0.539,null,1.999,2.541,null,null,null,0.106,0.269,null,null,null,109.995,0.131,null,0.001,null,null
CAN,2.155,0.555,3.245,null,0.055,0.05,0.285,0.25,1.24,0.11,0.26,0.075,0.19,2.45,0.155,0.265,0.74,0.05,0.305,0.05,0.975,0.09,0.125,0.145,1.615,0.025,0.425,0.245,0.615,0.23,2.04,null,0.01,0.02,0.09,0.295,33.02,3.68,0.01,0.09,null,0.195,0.95,0.085,1.285,0.05,0.165,0.06,1.25,0.14,0.18,0.045,0.64,0.35,4.825,0.61,0,0.98,0.03,1.74,0.27,0.085,0,0,0,8.14,0,0.015,0.12,1.89,0.52,0.21,0.14,null,0.345,0.26,0.01,0.64,5.6,0.43,1.095,0.3,0.04,28.945,0.375,6.465,2.125,0.895,2.185,0.615,2.145,1.305,0.89,0.455,1.04,0,5.31,0.655,0.29,0.025,0.195,1.18,null,0.045,0.425,null,0.06,0.03,0.05,0.125,0.155,0.045,0.44,0.005,0.15,0.015,null,0.045,0.73,4.03,0.005,1.4,0.01,0.06,0.025,3.63,0.005,0.145,0.05,0,1.31,0.53,0.465,0.105,0.06,3.095,0,0.085,0.21,9.93,0,0.315,0.045,0.01,0.065,0.78,32.745,0.7,0.525,0.005,0.52,1.475,1.96,0.44,0.02,0.39,0.505,0,0,null,1.89,0.76,0.02,0.015,0.05,0.405,0.35,0.125,0.035,0,1.13,1.36,0.385,3.15,0.495,0,0.015,0.02,0.26,0.405,0.885,1.165,0.085,0.215,0.345,0,0.225,0,null,0.615,1.475,1.82,0.015,0,0.355,2.205,4.255,6.365,9.415,0.05,0.21,null,1.35,1.7,0.17,0.085,0.465,257.445,0,0.12,null,null,null
CHL,0.005,0,0.002,0,0.004,0,4.907,0.001,0.239,0.05,0,0,0,0.004,0,0.019,0.099,0.006,0,0,0,13.563,0.006,0,1.73,0,0.013,0,0,0.001,0.006,0.382,0.001,0,0,0,1.91,17.836,0.001,0.003,0,0.128,0.002,0.022,0.419,0,0.03,0.006,0.018,0.049,0,0,4.39,3.598,0.015,0.178,0,0,0.001,0,0,0.039,0,0,0,0.801,0,0,0.002,0.515,0.007,0.02,0,0,0.179,0.002,0,0,1.792,0.145,0.019,0.014,0.002,0.248,0.029,0.011,0.002,0.031,0.053,0.431,0.001,0.103,0.017,0.006,0.006,0,0.372,0,0.003,0,0,0.019,0,0,0,0,0.01,0,0,0.002,0.002,0,0.007,0,0,0.002,0,0,0.001,1.048,0,0.005,0,0,0,0.017,0.001,0,0,0,0.036,0.113,0.06,0.081,0,0.002,0,0.059,0.001,0.076,0,0,0.176,0,0.943,38.628,0.044,0.058,0.143,0.001,0,0.045,0.169,0,0,0,0,0,0,0,0.001,0.003,0.001,0,0,0.027,0.004,0.027,0.008,0,0,0.069,2.452,0.006,0,0,0,0,0.091,0.096,0.029,0,0,0,0.014,0,0,0,0,0.004,0.004,0.112,0,0,0,0.051,0,0.273,3.451,0.773,0.002,0,1.249,0.003,0,0,0,105.088,0,0,0.012,0,0.003
CZE,0.025,0.05,0.038,null,0.007,null,0.022,0.096,0.052,0.188,0.155,null,null,null,null,0.373,0.043,null,null,null,null,null,0.222,0.027,0.054,null,0.733,null,null,null,null,0.107,null,null,null,0.015,0.4,0.027,null,null,null,null,null,0.134,null,null,null,null,null,0.019,null,null,null,0.006,0.083,null,null,null,0.013,0.016,null,0.024,null,null,null,0.215,null,null,0.079,1.319,0.03,0.081,null,null,null,null,null,null,null,null,null,0.123,null,0.288,null,0.035,0.033,0.025,0.07,0.249,null,0.417,null,0.642,null,null,0.404,null,0.068,null,0.045,null,null,null,0.022,null,0.056,null,null,0.126,null,null,0.098,null,null,null,null,null,null,0.067,null,0.388,null,0.345,null,null,null,0.003,null,null,0.022,0.11,0.012,null,null,0.037,null,0.019,null,0.04,null,null,null,null,null,0.018,0.086,0.576,0.03,null,null,0.661,3.201,null,null,null,null,null,null,null,0.044,null,0.179,null,null,null,null,4.825,null,null,null,0.038,0.103,null,null,null,null,null,0.067,0.025,0.095,null,0.013,null,0.111,null,null,null,null,null,0.058,0.366,null,null,null,5.919,null,0.262,1.081,null,0.201,null,null,1.571,null,null,null,30.298,null,null,null,null,null
EST,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.46,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1.107,null,null,null,null,null
FIN,0.593,0.038,0.046,0,0.028,0,0.02,0.004,0.055,0.039,0.017,0,0.001,0.154,0,0.043,0.041,0,0.003,0,0,0.006,0.055,0.002,0.082,0,0.269,0,0,0.006,0.066,0.062,0.002,0,0.001,0.018,0.748,0.05,0,0.003,0,0.006,0.004,0.018,0.03,0.003,0.062,0,0.308,0.046,0.001,0,0.011,0.014,0.086,0.004,0,0.015,6.041,0.111,0,0,0,0,0,0.19,0,0.048,0.012,0.303,0.16,0.117,0,0,0.001,0.009,0,0,0,0.007,0,0.251,0.01,0.572,0.041,0.333,0.584,0.045,0.024,0.218,0.006,0.11,0.005,0.022,0.093,0,0.065,0,0.01,0.004,0.178,0.016,0,0.002,0.006,0.001,0.175,0.001,0,0.015,0,0.005,0.025,0,0.002,0.003,0,0.001,0.003,0.069,0,0.011,0,0.002,0.002,0.081,0.001,0.11,0.003,0,0.386,0.091,0.008,0.005,0,0.2,0,0.055,0.001,0.269,0,0.003,0.002,0,0.003,0.024,0.29,0.538,0.083,0,0,0.302,3.05,0.013,0,0,0,0,0,0,0,0.014,0.001,0,0.008,0.029,0.013,0.044,0.005,0.001,0.445,0.022,0.258,0.096,0.016,0,0,0,0.593,0.053,0.15,0,0.002,0.039,0.589,0,0.006,0,0,0.002,0.04,0.409,0.001,0,0.011,0.333,0,0.385,0.287,0.001,0.014,0,0.019,0.379,0.011,0.007,0.003,23.334,0,0.495,0.066,0,0
FRA,0.67,0.43,25.132,0.019,0.781,0.002,0.42,1.61,0.566,0,0.364,0,0.002,0.83,0.005,0.25,0,0.001,0.81,0,0.041,0.132,0.319,0.003,2.927,0.002,0,0.491,0.079,0.483,4.104,1.213,0.815,0.442,0.218,0.308,7.241,1.169,3.27,2.445,0,0.043,3.565,0.162,0.205,0,0,0.016,4.019,0,0.124,0.122,0.445,0.219,1.287,0.06,0.018,0.278,0,0.12,0.02,0,0,0,0,0,0.915,0.122,0.671,0,0.223,0,0.003,0,0.035,2.094,0.181,0.183,3.333,0.033,0,0,0,2.506,0.234,0.644,0.281,0,0.178,0,0.052,1.772,0.068,0.152,0.092,0,0.625,0.018,0.057,0.127,0,1.292,0,0.026,0.176,0,0,0,0,0.211,2.231,0,0.195,0.002,4.426,0,0,1.097,0.931,0.793,0,0.451,0,0.153,0,20.175,0.009,0.033,0.003,0,0.078,0,0.166,0.03,0.183,0.834,0,0,0.011,1.08,0,0.091,0.021,0.001,0.046,0.586,0.875,0,0,0,0.013,0,4.073,0.31,0.004,0.094,0.001,0.008,0,0.01,0.113,4.673,2.969,0.011,0.081,0,0.102,0,0,0,0.25,0.214,0,2.474,0.338,0,0.763,0.002,0,0,0.827,0.179,0.009,0.014,0.873,0,0.769,0,0.013,0.017,11.992,6.146,0.011,0,0.028,1.04,0.004,0,3.402,0.053,0.057,0.003,0.283,1.516,0.033,0.002,0.018,163.446,null,0.53,null,0,0
DEU,8.581,2.234,1.566,0.009,0.408,0.001,1.022,1.496,2.382,10.089,1.36,0.001,0.103,1.502,0.011,1.647,2.622,0.005,0.301,null,0.016,0.312,12.235,0.025,7.091,0.019,60.209,0.239,0.027,0.1,2.01,3.269,0.03,0.012,0.082,0.945,19.74,2.561,0.002,0.31,0,0.242,0.329,12.887,0.72,0.38,9.221,0.229,0.19,2.322,0.012,0.056,0.613,0.815,2.916,0.138,0.008,0.833,1.29,1.124,0.023,2.19,null,null,null,14.458,0.032,0.592,3.466,null,2.356,32.66,0.013,null,0.163,0.742,0.148,0.005,0.116,0.135,null,54.491,0.221,18.063,2.242,8.215,6.654,1.868,1.847,36.896,0.084,6.629,1.242,1.728,1.034,0.223,4.927,0.217,0.613,0.058,9.212,2.135,0.004,0.1,1.92,0.033,10.226,2.003,null,11.331,0.211,0.032,0.652,0.003,0.301,0.094,0.001,0.082,0.109,3.485,0.001,0.897,0.003,0.485,0.988,5.024,0.068,0.411,0.115,0.001,0.8,9.164,0.646,0.092,0.126,2.748,0,0.855,0.087,6.513,0.003,null,0.064,0.006,0.205,0.953,4.724,177.758,11.82,null,0.189,120.524,18.812,0.12,0.001,0.006,0.007,0.002,0.008,0.003,1.091,0.41,0.998,0.012,0.198,22.107,0.464,13.892,3.592,0.002,1.519,0.76,23.345,1.248,0.046,null,0.01,0.011,2.615,4.096,8.53,null,0.207,0.175,3.256,0.001,0.448,null,0.006,0.044,3.046,26.15,0.149,0.027,0.233,8.198,0.831,10.466,19.563,0.102,0.618,0,0.679,3.887,0.37,0.051,0.17,965.908,0,1.532,null,null,null
HUN,0.025,0.03,0.023,0,0.013,0.001,0.032,0.015,0.058,0.455,0.035,0,0.001,0.006,0,0.034,0.132,0,0.001,0,0,0,0.071,0.002,0.137,0,0.08,0.001,0,0,0.06,0.173,0.001,0,0,0.008,1.137,0.017,0,0.003,0,0.005,0.001,0.175,0.021,0.027,0.063,0,0.002,0.036,0,0,0.001,0.007,0.127,0.004,0,0.004,0.015,0.034,0,0.062,0,0,0,0.315,0,0.001,0.037,2.073,0.01,0.064,0,0,0.001,0,0,0.001,0.001,0.002,0,0,0.018,0.26,0.024,0.351,0.024,0.057,0.306,0.352,0.001,0.332,0.023,0.091,0.025,0,0.329,0.007,0.016,0.001,0.023,0.013,0.001,0.008,0.047,0.001,0.024,0.008,0,0.039,0.001,0,0.01,0,0.004,0.007,0,0.001,0.016,0.143,0,0.064,0,0.072,0.019,0.017,0.001,0.001,0.002,0,0.009,0.313,0.022,0.001,0.001,0.302,0,0.128,0.002,0.049,0,0.019,0,0,0,0.01,0.048,0.215,0.068,0,0.009,4.243,0.527,0,0,0,0,0,0,0,0.032,0.005,0.001,0.001,0,0.637,0.012,1.013,0.05,0,0,0.016,0.214,0.006,0.007,0,0.001,0,0.125,0.098,0.096,0.044,0.003,0.008,0.201,0,0.002,0,0,0,0.02,0.569,0.002,0,0.002,0.859,0.001,0.324,1.045,0.002,0.016,0,0.02,0.269,0.026,0.001,0.001,20.34,0,0.001,0,0,0
ISL,0.004,0,0.004,0,0.001,0.001,0.004,0,0.025,0.01,0,0,0,0.002,0,0.001,0.01,0,null,0,null,0,0.004,null,0.006,null,0.017,0,null,0,0.003,0.053,0.001,null,null,0.002,0.049,0.011,0,0,null,0,0,0.004,0.005,0,0.025,0,0,0.081,0.001,0,0.002,0.001,0.005,0.002,0,0.003,0.008,0.008,0,0.023,0,0,null,0.044,0.001,0.003,0,0.109,0.011,0.004,null,null,0.003,0.002,null,0,0.007,0.002,0,0.027,null,0.017,0.006,0.013,0.005,0.008,0.005,0.044,0.001,0.023,0.001,0,0.023,null,0.001,0,0,0,0.064,0.001,0,0.001,0,null,0.139,0.002,null,0.003,0,0.001,0.003,null,0,0.001,null,0,0,0.011,null,0.001,0,0.004,0,0.007,0.005,0,0.004,0,0.005,0.016,0.006,0.002,0,0.006,null,0.045,0,0.005,null,0.004,0.001,0.002,0.002,0.003,0.052,0.886,0.042,0,0,0.061,0.021,0.002,0.001,null,0.001,null,null,0,0.001,0.002,0.001,null,0,0.01,0.001,0.044,0.001,null,0.002,0.009,0.066,0.007,0,null,0,null,0.085,0.011,0.004,0,null,0.005,0.035,null,0,null,0,0,0.003,0.003,null,null,0.008,0.035,0,0.086,0.195,0,0.003,null,0,0.02,0,0.001,0,2.827,null,null,null,null,null
IRL,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2.2,null,null,null,null,null,null,null,null,null,32.1,null,null,null,null,null
ISR,null,null,null,null,null,null,0.222,null,0.096,0.018,null,null,null,null,null,null,0.14,null,null,null,null,null,null,null,0.163,null,0.017,null,null,null,null,0.236,null,null,null,0.042,null,0.044,null,null,null,null,null,null,0.064,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2.432,null,null,0.014,7.234,0.012,1.653,null,null,null,0.1,null,0.01,null,null,null,null,null,null,null,null,null,0.11,null,0.027,null,0.037,null,null,null,0.137,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.061,null,null,null,null,null,0.045,null,null,null,null,null,0.036,null,null,null,null,null,null,null,null,null,null,null,null,null,0.037,null,0.015,null,null,null,0.051,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.125,0.076,null,null,null,null,null,0.015,0.081,null,null,null,null,null,null,null,null,null,null,0.04,0.062,null,null,null,null,null,0.569,2.29,0.067,null,null,0.033,null,0.025,null,null,16.558,null,0.002,null,null,null
ITA,1.109,14.118,0.944,0.004,0.091,0.004,0.742,0.119,0.202,0.331,0.035,0.006,0.004,10.144,0,0.813,0.343,0.003,0.181,null,0.003,1.027,0.731,0.004,5.716,0.003,4.794,1.015,0.06,0.024,1.262,0.252,0.221,0.015,0.266,0.247,20.463,1.525,0.004,0.335,null,0.066,2.715,0.437,1.847,0.015,0.389,null,0.323,0.153,0,0.153,2.565,3.037,8.623,1.036,0.01,0.613,0.093,0.837,0,0.111,null,null,null,1.896,0.041,0.273,1.706,1.877,4.007,0.561,0,null,0.083,0.533,0.115,0.004,0.034,0.196,null,0.853,0.011,11.158,0.265,1.378,0.297,0.177,0.206,null,0.011,0.574,0.103,0.191,0.226,0.001,null,0.003,0.172,0.013,0.272,0.286,0,0.12,0.283,0.006,0.438,0.017,null,null,0.117,0.002,0.066,0.003,1.472,0.031,0.001,0.09,0.29,0.462,null,8.813,0.001,0.017,0.06,19.59,0.03,0.022,0.002,0,0.16,0.415,0.041,0.066,0.387,6.739,null,0.108,0.001,8.754,0,0.087,0.024,0.003,0.183,5.614,9.893,4.618,0.446,null,0,81.666,3.97,0.044,0.003,0.002,0,0.004,0.028,0.005,0.019,5.493,null,0.005,0.114,1.289,0.016,0.645,0.208,0.001,0.868,0.073,1.956,7.138,0.459,null,0,0.001,0.225,0.35,0.452,null,0,0.093,0.54,0.01,0.514,null,0.002,0.004,5.447,1.202,0.006,0,0.044,11.51,0.006,1.548,1.62,0.103,0.062,0,0.584,0.141,0.008,0.012,0.017,321.305,null,null,0.033,null,null
JPN,0.894,0.056,0.097,0.001,0.14,0.007,0.317,0.146,2.937,1.175,0.086,0.004,0.124,1.192,0.01,0.206,0.496,0.017,0.077,0,0.216,0.251,0.046,0.066,5.79,0.032,0.352,0.111,0.059,1.099,0.146,2.203,0.016,0.015,0.028,0.124,106.957,0.388,0.027,0.03,0,0.059,0.103,0.074,0.119,0.003,0.4,0.002,0.138,0.317,0.039,0.006,0.07,0.153,0.831,0.102,0.019,0.013,0.086,0.246,0.154,0.427,0,0,0,3.955,0.066,0.02,0.127,4.141,0.362,0.073,0.005,0,0.09,0.043,0.004,0.017,0.069,0.056,0.884,0.48,0.068,5.632,9.282,0.384,0.369,0.374,0.208,1.803,0.16,0,0.173,0.227,0.357,0.037,25.748,0.19,0.206,0.847,0.132,0.044,0.025,0.086,0.057,0.007,0.146,0.038,0,0.048,0.037,0.2,2.504,0.077,0.035,0.004,0.056,0.028,0.049,0.789,0.069,0.057,0.004,1.514,0.017,0.182,0.145,1.532,0.08,0.01,4.839,0.779,0.682,0.101,0.046,0.466,0,0.242,0.114,1.345,0.022,0.055,0.115,0.143,0.255,1.014,15.412,0.83,0.129,0,0.15,0.294,3.829,0.105,0.006,0.016,0.009,0.063,0.002,0.008,0.505,0.169,0,0.021,0.053,0.096,0.473,0.306,0.067,0.079,0,0.425,1.248,1.472,0.21,null,0.002,0.049,0.982,0.377,0.098,6.602,0.12,0.259,15.362,0.16,0.066,0,0.062,0.04,0.089,0.833,0.052,0.023,0.21,0.986,0.051,5.504,20.985,0.041,0.433,0.049,0.173,19.481,0.052,0.254,0.163,303.926,0,0,0.201,0,0
